Epoch 1 - Training Loss: 0.6716, Validation Loss: 0.6470
Epoch 2 - Training Loss: 0.6365, Validation Loss: 0.6100
Epoch 3 - Training Loss: 0.5947, Validation Loss: 0.5739
Epoch 4 - Training Loss: 0.5790, Validation Loss: 0.5432
Epoch 5 - Training Loss: 0.5468, Validation Loss: 0.5306
Epoch 6 - Training Loss: 0.5371, Validation Loss: 0.5177
Epoch 7 - Training Loss: 0.5191, Validation Loss: 0.5028
Epoch 8 - Training Loss: 0.5007, Validation Loss: 0.5007
Epoch 9 - Training Loss: 0.5053, Validation Loss: 0.4981
Epoch 10 - Training Loss: 0.4987, Validation Loss: 0.4942
Epoch 11 - Training Loss: 0.4990, Validation Loss: 0.4911
Epoch 12 - Training Loss: 0.4955, Validation Loss: 0.4919
Epoch 13 - Training Loss: 0.4923, Validation Loss: 0.4951
Epoch 14 - Training Loss: 0.4987, Validation Loss: 0.4985
Epoch 15 - Training Loss: 0.4874, Validation Loss: 0.5000
Epoch 16 - Training Loss: 0.4896, Validation Loss: 0.4980
Epoch 17 - Training Loss: 0.4988, Validation Loss: 0.4976
Epoch 18 - Training Loss: 0.4922, Validation Loss: 0.4960
Epoch 19 - Training Loss: 0.4924, Validation Loss: 0.4981
Epoch 20 - Training Loss: 0.4918, Validation Loss: 0.4984
Epoch 21 - Training Loss: 0.4921, Validation Loss: 0.4930
Epoch 22 - Training Loss: 0.4955, Validation Loss: 0.4957
Epoch 23 - Training Loss: 0.4947, Validation Loss: 0.4937
Epoch 24 - Training Loss: 0.5104, Validation Loss: 0.4955
Epoch 25 - Training Loss: 0.4916, Validation Loss: 0.4960
Epoch 26 - Training Loss: 0.4923, Validation Loss: 0.4948
Epoch 27 - Training Loss: 0.5193, Validation Loss: 0.4884
Epoch 28 - Training Loss: 0.4804, Validation Loss: 0.4899
Epoch 29 - Training Loss: 0.4878, Validation Loss: 0.4916
Epoch 30 - Training Loss: 0.4879, Validation Loss: 0.4963
Epoch 31 - Training Loss: 0.4880, Validation Loss: 0.4942
Epoch 32 - Training Loss: 0.4804, Validation Loss: 0.4877
Epoch 33 - Training Loss: 0.4909, Validation Loss: 0.4961
Epoch 34 - Training Loss: 0.4869, Validation Loss: 0.4921
Epoch 35 - Training Loss: 0.4874, Validation Loss: 0.4958
Epoch 36 - Training Loss: 0.4908, Validation Loss: 0.4953
Epoch 37 - Training Loss: 0.4799, Validation Loss: 0.4964
Epoch 38 - Training Loss: 0.4875, Validation Loss: 0.4963
Epoch 39 - Training Loss: 0.4929, Validation Loss: 0.4936
Epoch 40 - Training Loss: 0.4794, Validation Loss: 0.4939
Epoch 41 - Training Loss: 0.4971, Validation Loss: 0.4947
Epoch 42 - Training Loss: 0.4922, Validation Loss: 0.4890
Epoch 43 - Training Loss: 0.4968, Validation Loss: 0.4924
Epoch 44 - Training Loss: 0.4890, Validation Loss: 0.4885
Epoch 45 - Training Loss: 0.4928, Validation Loss: 0.4963
Epoch 46 - Training Loss: 0.4956, Validation Loss: 0.4949
Epoch 47 - Training Loss: 0.4738, Validation Loss: 0.4933
Epoch 48 - Training Loss: 0.4815, Validation Loss: 0.4938
Epoch 49 - Training Loss: 0.4944, Validation Loss: 0.4929
Epoch 50 - Training Loss: 0.4810, Validation Loss: 0.4948
Epoch 51 - Training Loss: 0.4856, Validation Loss: 0.4954
Epoch 52 - Training Loss: 0.4752, Validation Loss: 0.4937
Epoch 53 - Training Loss: 0.4833, Validation Loss: 0.4863
Epoch 54 - Training Loss: 0.4832, Validation Loss: 0.4944
Epoch 55 - Training Loss: 0.4749, Validation Loss: 0.4925
Epoch 56 - Training Loss: 0.4794, Validation Loss: 0.4975
Epoch 57 - Training Loss: 0.4751, Validation Loss: 0.4934
Epoch 58 - Training Loss: 0.4779, Validation Loss: 0.4938
Epoch 59 - Training Loss: 0.4845, Validation Loss: 0.4878
Epoch 60 - Training Loss: 0.4747, Validation Loss: 0.4894
Epoch 61 - Training Loss: 0.4808, Validation Loss: 0.4850
Epoch 62 - Training Loss: 0.4799, Validation Loss: 0.4880
Epoch 63 - Training Loss: 0.4705, Validation Loss: 0.4846
Epoch 64 - Training Loss: 0.4695, Validation Loss: 0.4865
Epoch 65 - Training Loss: 0.4735, Validation Loss: 0.4885
Epoch 66 - Training Loss: 0.4792, Validation Loss: 0.4898
Epoch 67 - Training Loss: 0.4862, Validation Loss: 0.4897
Epoch 68 - Training Loss: 0.4749, Validation Loss: 0.4889
Epoch 69 - Training Loss: 0.4868, Validation Loss: 0.4927
Epoch 70 - Training Loss: 0.4781, Validation Loss: 0.4897
Epoch 71 - Training Loss: 0.4722, Validation Loss: 0.4873
Epoch 72 - Training Loss: 0.4662, Validation Loss: 0.4877
Epoch 73 - Training Loss: 0.4746, Validation Loss: 0.4924
Epoch 74 - Training Loss: 0.4733, Validation Loss: 0.4891
Epoch 75 - Training Loss: 0.4816, Validation Loss: 0.4910
Epoch 76 - Training Loss: 0.4788, Validation Loss: 0.4871
