Epoch 1 - Training Loss: 0.6780, Validation Loss: 0.6525
Epoch 2 - Training Loss: 0.6299, Validation Loss: 0.6128
Epoch 3 - Training Loss: 0.5899, Validation Loss: 0.5784
Epoch 4 - Training Loss: 0.5641, Validation Loss: 0.5466
Epoch 5 - Training Loss: 0.5445, Validation Loss: 0.5285
Epoch 6 - Training Loss: 0.5353, Validation Loss: 0.5160
Epoch 7 - Training Loss: 0.5177, Validation Loss: 0.5113
Epoch 8 - Training Loss: 0.5145, Validation Loss: 0.5077
Epoch 9 - Training Loss: 0.5092, Validation Loss: 0.5067
Epoch 10 - Training Loss: 0.5058, Validation Loss: 0.5057
Epoch 11 - Training Loss: 0.5051, Validation Loss: 0.4941
Epoch 12 - Training Loss: 0.5032, Validation Loss: 0.4913
Epoch 13 - Training Loss: 0.4991, Validation Loss: 0.4942
Epoch 14 - Training Loss: 0.5082, Validation Loss: 0.4953
Epoch 15 - Training Loss: 0.4990, Validation Loss: 0.4907
Epoch 16 - Training Loss: 0.5130, Validation Loss: 0.4882
Epoch 17 - Training Loss: 0.5001, Validation Loss: 0.4919
Epoch 18 - Training Loss: 0.5118, Validation Loss: 0.4876
Epoch 19 - Training Loss: 0.5100, Validation Loss: 0.4897
Epoch 20 - Training Loss: 0.4945, Validation Loss: 0.4883
Epoch 21 - Training Loss: 0.4894, Validation Loss: 0.4844
Epoch 22 - Training Loss: 0.5014, Validation Loss: 0.4848
Epoch 23 - Training Loss: 0.4914, Validation Loss: 0.4870
Epoch 24 - Training Loss: 0.4862, Validation Loss: 0.4830
Epoch 25 - Training Loss: 0.4871, Validation Loss: 0.4855
Epoch 26 - Training Loss: 0.5113, Validation Loss: 0.4877
Epoch 27 - Training Loss: 0.4880, Validation Loss: 0.4838
Epoch 28 - Training Loss: 0.4936, Validation Loss: 0.4844
Epoch 29 - Training Loss: 0.5168, Validation Loss: 0.4803
Epoch 30 - Training Loss: 0.4838, Validation Loss: 0.4818
Epoch 31 - Training Loss: 0.4805, Validation Loss: 0.4809
Epoch 32 - Training Loss: 0.4839, Validation Loss: 0.4837
Epoch 33 - Training Loss: 0.4849, Validation Loss: 0.4803
Epoch 34 - Training Loss: 0.4811, Validation Loss: 0.4855
Epoch 35 - Training Loss: 0.4875, Validation Loss: 0.4822
